reg_id,url,name,reg_role,reg_type,reg_status,reg_status_date,client,organization,lobbying_firm
203223,/lra/reporting/public/registrar/view.do?method=get&registrationId=203223,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"June   28, 2017",,Canadian Fuels Association,
215668,/lra/reporting/public/registrar/view.do?method=get&registrationId=215668,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"January  24, 2018",,Canadian Fuels Association,
230786,/lra/reporting/public/registrar/view.do?method=get&registrationId=230786,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"August  20, 2018",,Canadian Fuels Association,
259090,/lra/reporting/public/registrar/view.do?method=get&registrationId=259090,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"February 27, 2019",,Canadian Fuels Association,
296883,/lra/reporting/public/registrar/view.do?method=get&registrationId=296883,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"September 06, 2019",,Canadian Fuels Association,
325868,/lra/reporting/public/registrar/view.do?method=get&registrationId=325868,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"March   10, 2020",,Canadian Fuels Association,
3654813,/lra/reporting/public/registrar/view.do?method=get&registrationId=3654813,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"September 21, 2015",,Canadian Fuels Association,
417949,/lra/reporting/public/registrar/view.do?method=get&registrationId=417949,"Ahmadi, Giulia",In House Lobbyist,Organization,Active,"September 02, 2021",,Canadian Life and Health Insurance Association,
437463,/lra/reporting/public/registrar/view.do?method=get&registrationId=437463,"Aissa, Fakher",In House Lobbyist,Organization,Active,"April   28, 2021",,Lundbeck Canada Inc.,
364557,/lra/reporting/public/registrar/view.do?method=get&registrationId=364557,"Aissa, Fakher",In House Lobbyist,Organization,Terminated,"August  06, 2020",,Lundbeck Canada Inc.,
392283,/lra/reporting/public/registrar/view.do?method=get&registrationId=392283,"Aissa, Fakher",In House Lobbyist,Organization,Terminated,"April   09, 2021",,Lundbeck Canada Inc.,
221913,/lra/reporting/public/registrar/view.do?method=get&registrationId=221913,"Aizicowitz, Kelly",Consultant Lobbyist,Consultant Lobbyist,Terminated,"December 02, 2013",Pacific Western Transportation Ltd.,,StrategyCorp Inc.
10979082,/lra/reporting/public/registrar/view.do?method=get&registrationId=10979082,"ajay , chopra",Consultant Lobbyist,Consultant Lobbyist,Terminated,"October  09, 2018",Winnipeg City Taxi Coalition,,
418515,/lra/reporting/public/registrar/view.do?method=get&registrationId=418515,"Alderson, Dallas",In House Lobbyist,Organization,Active,"September 16, 2021",,Co-operative Housing Federation of Canada,
394822,/lra/reporting/public/registrar/view.do?method=get&registrationId=394822,"Alderson, Dallas",In House Lobbyist,Organization,Terminated,"March   31, 2021",,Co-operative Housing Federation of Canada,
206060,/lra/reporting/public/registrar/view.do?method=get&registrationId=206060,"Alderton, Jacqueline",In House Lobbyist,Organization,Terminated,"August  15, 2017",,Insurance Bureau of Canada,
219036,/lra/reporting/public/registrar/view.do?method=get&registrationId=219036,"Alderton, Jacqueline",In House Lobbyist,Organization,Terminated,"March   22, 2018",,Insurance Bureau of Canada,
246402,/lra/reporting/public/registrar/view.do?method=get&registrationId=246402,"Alderton, Jacqueline",In House Lobbyist,Organization,Terminated,"October  11, 2018",,Insurance Bureau of Canada,
285056,/lra/reporting/public/registrar/view.do?method=get&registrationId=285056,"Alderton, Jacqueline",In House Lobbyist,Organization,Terminated,"April   18, 2019",,Insurance Bureau of Canada,
943566,/lra/reporting/public/registrar/view.do?method=get&registrationId=943566,"Alexander, Anthony",Consultant Lobbyist,Consultant Lobbyist,Terminated,"August  19, 2014",Teranet Holdings LP,,
451240,/lra/reporting/public/registrar/view.do?method=get&registrationId=451240,"Alexander, Michelle",In House Lobbyist,Organization,Active,"September 03, 2021",,Investment Industry Association of Canada (IIAC),
366965,/lra/reporting/public/registrar/view.do?method=get&registrationId=366965,"Alexander, Michelle",In House Lobbyist,Organization,Terminated,"August  28, 2020",,Investment Industry Association of Canada (IIAC),
396286,/lra/reporting/public/registrar/view.do?method=get&registrationId=396286,"Alexander, Michelle",In House Lobbyist,Organization,Terminated,"March   02, 2021",,Investment Industry Association of Canada (IIAC),
415895,/lra/reporting/public/registrar/view.do?method=get&registrationId=415895,"Alexander, Michelle",In House Lobbyist,Organization,Terminated,"September 03, 2021",,Investment Industry Association of Canada (IIAC),
452334,/lra/reporting/public/registrar/view.do?method=get&registrationId=452334,"Alibhai, Mehmood",In House Lobbyist,Organization,Active,"September 15, 2021",,Boehringer Ingelheim Canada Ltd,
226967,/lra/reporting/public/registrar/view.do?method=get&registrationId=226967,"Alibhai, Mehmood",In House Lobbyist,Organization,Terminated,"May    23, 2018",,Boehringer Ingelheim Canada Ltd,
252087,/lra/reporting/public/registrar/view.do?method=get&registrationId=252087,"Alibhai, Mehmood",In House Lobbyist,Organization,Terminated,"January  03, 2019",,Boehringer Ingelheim Canada Ltd,
293011,/lra/reporting/public/registrar/view.do?method=get&registrationId=293011,"Alibhai, Mehmood",In House Lobbyist,Organization,Terminated,"July   08, 2019",,Boehringer Ingelheim Canada Ltd,
322425,/lra/reporting/public/registrar/view.do?method=get&registrationId=322425,"Alibhai, Mehmood",In House Lobbyist,Organization,Terminated,"February 27, 2020",,Boehringer Ingelheim Canada Ltd,
367205,/lra/reporting/public/registrar/view.do?method=get&registrationId=367205,"Alibhai, Mehmood",In House Lobbyist,Organization,Terminated,"September 02, 2020",,Boehringer Ingelheim Canada Ltd,
397257,/lra/reporting/public/registrar/view.do?method=get&registrationId=397257,"Alibhai, Mehmood",In House Lobbyist,Organization,Terminated,"March   08, 2021",,Boehringer Ingelheim Canada Ltd,
416711,/lra/reporting/public/registrar/view.do?method=get&registrationId=416711,"Alibhai, Mehmood",In House Lobbyist,Organization,Terminated,"September 15, 2021",,Boehringer Ingelheim Canada Ltd,
10554316,/lra/reporting/public/registrar/view.do?method=get&registrationId=10554316,"Alibhai, Mehmood",In House Lobbyist,Organization,Terminated,"November 17, 2017",,Boehringer Ingelheim Canada Ltd,
34445,/lra/reporting/public/registrar/view.do?method=get&registrationId=34445,"Allain, Steve",In House Lobbyist,Organization,Terminated,"January  22, 2014",,AstraZeneca Canada Inc.,
46420,/lra/reporting/public/registrar/view.do?method=get&registrationId=46420,"Allain, Steve",In House Lobbyist,Organization,Terminated,"July   23, 2014",,AstraZeneca Canada Inc.,
47400,/lra/reporting/public/registrar/view.do?method=get&registrationId=47400,"Allan, Brianna",In House Lobbyist,Organization,Terminated,"October  14, 2014",,Municipal Solutions,
1643001,/lra/reporting/public/registrar/view.do?method=get&registrationId=1643001,"Allan, Brianna",In House Lobbyist,Organization,Terminated,"February 10, 2014",,Municipal Solutions,
450721,/lra/reporting/public/registrar/view.do?method=get&registrationId=450721,"Allman, Catherine",In House Lobbyist,Organization,Active,"August  27, 2021",,Canadian Association of Direct Relationship Insurers,
205464,/lra/reporting/public/registrar/view.do?method=get&registrationId=205464,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"June   21, 2017",,Canadian Association of Direct Relationship Insurers,
215366,/lra/reporting/public/registrar/view.do?method=get&registrationId=215366,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"December 22, 2017",,Canadian Association of Direct Relationship Insurers,
229034,/lra/reporting/public/registrar/view.do?method=get&registrationId=229034,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"June   28, 2018",,Canadian Association of Direct Relationship Insurers,
256683,/lra/reporting/public/registrar/view.do?method=get&registrationId=256683,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"January  04, 2019",,Canadian Association of Direct Relationship Insurers,
293163,/lra/reporting/public/registrar/view.do?method=get&registrationId=293163,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"August  13, 2019",,Canadian Association of Direct Relationship Insurers,
324953,/lra/reporting/public/registrar/view.do?method=get&registrationId=324953,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"February 19, 2020",,Canadian Association of Direct Relationship Insurers,
366500,/lra/reporting/public/registrar/view.do?method=get&registrationId=366500,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"August  20, 2020",,Canadian Association of Direct Relationship Insurers,
395848,/lra/reporting/public/registrar/view.do?method=get&registrationId=395848,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"February 23, 2021",,Canadian Association of Direct Relationship Insurers,
415280,/lra/reporting/public/registrar/view.do?method=get&registrationId=415280,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"August  27, 2021",,Canadian Association of Direct Relationship Insurers,
7298801,/lra/reporting/public/registrar/view.do?method=get&registrationId=7298801,"Allman, Catherine",In House Lobbyist,Organization,Terminated,"December 16, 2016",,Canadian Association of Direct Relationship Insurers,
419094,/lra/reporting/public/registrar/view.do?method=get&registrationId=419094,"Alward, Jonathan",In House Lobbyist,Organization,Active,"August  18, 2021",,Canadian Federation of Independent Business (CFIB),
419094,/lra/reporting/public/registrar/view.do?method=get&registrationId=419094,"Alward, Jonathan",Senior Officer,Organization,Active,"August  18, 2021",,Canadian Federation of Independent Business (CFIB),
166733,/lra/reporting/public/registrar/view.do?method=get&registrationId=166733,"Alward, Jonathan",In House Lobbyist,Organization,Terminated,"May    08, 2017",,Canadian Federation of Independent Business (CFIB),
266626,/lra/reporting/public/registrar/view.do?method=get&registrationId=266626,"Alward, Jonathan",In House Lobbyist,Organization,Terminated,"May    31, 2019",,Canadian Federation of Independent Business (CFIB),
304783,/lra/reporting/public/registrar/view.do?method=get&registrationId=304783,"Alward, Jonathan",In House Lobbyist,Organization,Terminated,"January  13, 2020",,Canadian Federation of Independent Business (CFIB),
342171,/lra/reporting/public/registrar/view.do?method=get&registrationId=342171,"Alward, Jonathan",In House Lobbyist,Organization,Terminated,"August  05, 2020",,Canadian Federation of Independent Business (CFIB),
379766,/lra/reporting/public/registrar/view.do?method=get&registrationId=379766,"Alward, Jonathan",In House Lobbyist,Organization,Terminated,"April   01, 2021",,Canadian Federation of Independent Business (CFIB),
11481914,/lra/reporting/public/registrar/view.do?method=get&registrationId=11481914,"Alward, Jonathan",In House Lobbyist,Organization,Terminated,"October  03, 2018",,Canadian Federation of Independent Business (CFIB),
166733,/lra/reporting/public/registrar/view.do?method=get&registrationId=166733,"Alward, Jonathan",Senior Officer,Organization,Terminated,"May    08, 2017",,Canadian Federation of Independent Business (CFIB),
266626,/lra/reporting/public/registrar/view.do?method=get&registrationId=266626,"Alward, Jonathan",Senior Officer,Organization,Terminated,"May    31, 2019",,Canadian Federation of Independent Business (CFIB),
304783,/lra/reporting/public/registrar/view.do?method=get&registrationId=304783,"Alward, Jonathan",Senior Officer,Organization,Terminated,"January  13, 2020",,Canadian Federation of Independent Business (CFIB),
342171,/lra/reporting/public/registrar/view.do?method=get&registrationId=342171,"Alward, Jonathan",Senior Officer,Organization,Terminated,"August  05, 2020",,Canadian Federation of Independent Business (CFIB),
379766,/lra/reporting/public/registrar/view.do?method=get&registrationId=379766,"Alward, Jonathan",Senior Officer,Organization,Terminated,"April   01, 2021",,Canadian Federation of Independent Business (CFIB),
11481914,/lra/reporting/public/registrar/view.do?method=get&registrationId=11481914,"Alward, Jonathan",Senior Officer,Organization,Terminated,"October  03, 2018",,Canadian Federation of Independent Business (CFIB),
13160748,/lra/reporting/public/registrar/view.do?method=get&registrationId=13160748,"Amaral, Utilia",Consultant Lobbyist,Consultant Lobbyist,Terminated,"February 02, 2021",Google LLC,,
450609,/lra/reporting/public/registrar/view.do?method=get&registrationId=450609,"Amilpa, Fernando",In House Lobbyist,Organization,Active,"September 02, 2021",,FCA Canada Inc.,
7298833,/lra/reporting/public/registrar/view.do?method=get&registrationId=7298833,"Amin, Imran",Consultant Lobbyist,Consultant Lobbyist,Terminated,"January  30, 2017",McKesson Canada,,StrategyCorp Inc.
10554304,/lra/reporting/public/registrar/view.do?method=get&registrationId=10554304,"Amin, Imran",Consultant Lobbyist,Consultant Lobbyist,Terminated,"September 09, 2018",McKesson Canada,,StrategyCorp Inc.
2642110,/lra/reporting/public/registrar/view.do?method=get&registrationId=2642110,"Amin, Imran",Consultant Lobbyist,Consultant Lobbyist,Terminated,"August  25, 2014",McKesson Canada,,StrategyCorp Inc.
1340855,/lra/reporting/public/registrar/view.do?method=get&registrationId=1340855,"Amin, Imran",Consultant Lobbyist,Consultant Lobbyist,Terminated,"June   17, 2013",Progressive Contractors Association of Canada,,StrategyCorp Inc.
443224,/lra/reporting/public/registrar/view.do?method=get&registrationId=443224,"Amin, Mo",In House Lobbyist,Organization,Active,"September 01, 2021",,AstraZeneca Canada Inc.,
336487,/lra/reporting/public/registrar/view.do?method=get&registrationId=336487,"Amin, Mo",In House Lobbyist,Organization,Terminated,"June   02, 2020",,AstraZeneca Canada Inc.,
373925,/lra/reporting/public/registrar/view.do?method=get&registrationId=373925,"Amin, Mo",In House Lobbyist,Organization,Terminated,"December 04, 2020",,AstraZeneca Canada Inc.,
403330,/lra/reporting/public/registrar/view.do?method=get&registrationId=403330,"Amin, Mo",In House Lobbyist,Organization,Terminated,"June   29, 2021",,AstraZeneca Canada Inc.,
364557,/lra/reporting/public/registrar/view.do?method=get&registrationId=364557,"Anastasiou, Peter",Senior Officer,Organization,Terminated,"August  06, 2020",,Lundbeck Canada Inc.,
7215352,/lra/reporting/public/registrar/view.do?method=get&registrationId=7215352,"Anderson, Carol",Consultant Lobbyist,Consultant Lobbyist,Terminated,"September 29, 2016",SESQUI Canada 150 Signature Initiative,,1689986 Alberta Ltd. DBA Navigator Ltd.
417949,/lra/reporting/public/registrar/view.do?method=get&registrationId=417949,"Anderson, Craig",In House Lobbyist,Organization,Active,"September 02, 2021",,Canadian Life and Health Insurance Association,
92905,/lra/reporting/public/registrar/view.do?method=get&registrationId=92905,"Anderson, Craig",In House Lobbyist,Organization,Terminated,"September 30, 2015",,Canadian Life and Health Insurance Association,
227755,/lra/reporting/public/registrar/view.do?method=get&registrationId=227755,"Anderson, Craig",In House Lobbyist,Organization,Terminated,"June   08, 2018",,Canadian Life and Health Insurance Association,
255120,/lra/reporting/public/registrar/view.do?method=get&registrationId=255120,"Anderson, Craig",In House Lobbyist,Organization,Terminated,"December 19, 2018",,Canadian Life and Health Insurance Association,
292362,/lra/reporting/public/registrar/view.do?method=get&registrationId=292362,"Anderson, Craig",In House Lobbyist,Organization,Terminated,"July   11, 2019",,Canadian Life and Health Insurance Association,
322545,/lra/reporting/public/registrar/view.do?method=get&registrationId=322545,"Anderson, Craig",In House Lobbyist,Organization,Terminated,"January  16, 2020",,Canadian Life and Health Insurance Association,
363460,/lra/reporting/public/registrar/view.do?method=get&registrationId=363460,"Anderson, Craig",In House Lobbyist,Organization,Terminated,"August  19, 2020",,Canadian Life and Health Insurance Association,
395424,/lra/reporting/public/registrar/view.do?method=get&registrationId=395424,"Anderson, Craig",In House Lobbyist,Organization,Terminated,"March   29, 2021",,Canadian Life and Health Insurance Association,
438677,/lra/reporting/public/registrar/view.do?method=get&registrationId=438677,"Anderson, Richard",In House Lobbyist,Organization,Active,"July   15, 2021",,BASF Canada Inc.,
3654820,/lra/reporting/public/registrar/view.do?method=get&registrationId=3654820,"Angus, Dave",In House Lobbyist,Organization,Terminated,"October  26, 2015",,The Winnipeg Chamber of Commerce,
3654820,/lra/reporting/public/registrar/view.do?method=get&registrationId=3654820,"Angus, Dave",Senior Officer,Organization,Terminated,"October  26, 2015",,The Winnipeg Chamber of Commerce,
2574354,/lra/reporting/public/registrar/view.do?method=get&registrationId=2574354,"Angus, David",In House Lobbyist,Organization,Terminated,"November 24, 2014",,The Winnipeg Chamber of Commerce,
2574354,/lra/reporting/public/registrar/view.do?method=get&registrationId=2574354,"Angus, David",Senior Officer,Organization,Terminated,"November 24, 2014",,The Winnipeg Chamber of Commerce,
13160703,/lra/reporting/public/registrar/view.do?method=get&registrationId=13160703,"Angus, David",Consultant Lobbyist,Consultant Lobbyist,Terminated,"September 28, 2019",Oracle Corp,,The Capital Hill Group
72234,/lra/reporting/public/registrar/view.do?method=get&registrationId=72234,"Anne , Babineau",In House Lobbyist,Organization,Terminated,"January  30, 2015",,Canada's Research-Based Pharmaceutical Companies (Rx&D),
93753,/lra/reporting/public/registrar/view.do?method=get&registrationId=93753,"Anne , Babineau",In House Lobbyist,Organization,Terminated,"July   31, 2015",,Canada's Research-Based Pharmaceutical Companies (Rx&D),
2112654,/lra/reporting/public/registrar/view.do?method=get&registrationId=2112654,"Anne , Babineau",In House Lobbyist,Organization,Terminated,"July   29, 2014",,Canada's Research-Based Pharmaceutical Companies (Rx&D),
118112,/lra/reporting/public/registrar/view.do?method=get&registrationId=118112,"Anne , Babineau",In House Lobbyist,Organization,Terminated,"February 05, 2016",,Innovative Medicines Canada (Médicaments novateurs Canada),
143387,/lra/reporting/public/registrar/view.do?method=get&registrationId=143387,"Anne , Babineau",In House Lobbyist,Organization,Terminated,"August  10, 2016",,Innovative Medicines Canada (Médicaments novateurs Canada),
165304,/lra/reporting/public/registrar/view.do?method=get&registrationId=165304,"Anne , Babineau",In House Lobbyist,Organization,Terminated,"February 22, 2017",,Innovative Medicines Canada (Médicaments novateurs Canada),
209247,/lra/reporting/public/registrar/view.do?method=get&registrationId=209247,"Anne , Babineau",In House Lobbyist,Organization,Terminated,"August  30, 2017",,Innovative Medicines Canada (Médicaments novateurs Canada),
219829,/lra/reporting/public/registrar/view.do?method=get&registrationId=219829,"Anne , Babineau",In House Lobbyist,Organization,Terminated,"March   01, 2018",,Innovative Medicines Canada (Médicaments novateurs Canada),
244242,/lra/reporting/public/registrar/view.do?method=get&registrationId=244242,"Anne, Babineau",In House Lobbyist,Organization,Terminated,"September 12, 2018",,Innovative Medicines Canada (Médicaments novateurs Canada),
264059,/lra/reporting/public/registrar/view.do?method=get&registrationId=264059,"Anne, Babineau",In House Lobbyist,Organization,Terminated,"April   04, 2019",,Innovative Medicines Canada (Médicaments novateurs Canada),
298002,/lra/reporting/public/registrar/view.do?method=get&registrationId=298002,"Anne, Babineau",In House Lobbyist,Organization,Terminated,"October  15, 2019",,Innovative Medicines Canada (Médicaments novateurs Canada),
